Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Río Cuarto sufre las consecuencias de Incendio en edificio residencial,"Un grave incendio en edificio residencial se registró en Río Cuarto, Córdoba. El incidente resultando en el cierre temporal de escuelas y comercios. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incendio en edificio residencial,-33.15359,-64.377293,19/09/2011
Habitantes de Maipú afrontan Derrumbe de edificio,"Autoridades confirmaron un derrumbe de edificio en Maipú, Mendoza. El incidente generando serios daños ambientales en la región. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Derrumbe de edificio,-32.935044,-68.828698,29/06/2002
Devastador Colapso en red de distribución afecta a Santa Fe,"Un grave colapso en red de distribución se registró en Santa Fe, Santa Fe. El incidente dejando un rastro de destrucción importante. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Colapso en red de distribución,-31.679174,-60.73841,16/06/2023
Habitantes de Villa Carlos Paz afrontan Accidente con químicos industriales,"Autoridades confirmaron un accidente con químicos industriales en Villa Carlos Paz, Córdoba. El incidente dejando varios heridos y daños materiales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Accidente con químicos industriales,-31.373591,-64.497018,26/12/2005
Serio incidente: Colisión grave en ruta en San Ramón de la Nueva Orán,"Un grave colisión grave en ruta se registró en San Ramón de la Nueva Orán, Salta. El incidente destruyendo viviendas y dejando a familias evacuadas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Colisión grave en ruta,-23.092122,-64.362639,26/02/2004
San Telmo afectado por Colapso de puente,"Un grave colapso de puente se registró en San Telmo, CABA. El incidente obligando a evacuar a residentes de la zona. Se han habilitado refugios temporales para las familias afectadas.",Colapso de puente,-34.605276,-58.325537,11/06/2000
"Confirman Fuga en gasoducto de gran magnitud en Villa La Angostura, Neuquén","Grave fuga en gasoducto ocurrió en las inmediaciones de Villa La Angostura, Neuquén. El incidente generando preocupación entre autoridades provinciales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Fuga en gasoducto,-40.77424,-71.671776,17/11/2005
Equipos de emergencia atienden Accidente en refinería en Avellaneda,"Un grave accidente en refinería se registró en Avellaneda, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente en refinería,-34.673314,-58.389609,18/11/2004
Derrumbe parcial impacta en Gálvez,"Autoridades confirmaron un derrumbe parcial en Gálvez, Santa Fe. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Derrumbe parcial,-32.025065,-61.195873,14/12/2024
Declaran emergencia tras Derrumbe de edificio en Formosa,"Autoridades confirmaron un derrumbe de edificio en Formosa, Formosa. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Derrumbe de edificio,-26.218249,-58.16831,09/05/2014
Equipos de emergencia atienden Accidente con químicos industriales en Chivilcoy,"Autoridades confirmaron un accidente con químicos industriales en Chivilcoy, Buenos Aires. El incidente dejando varios heridos y daños materiales. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Accidente con químicos industriales,-34.866617,-60.037276,10/02/2003
Habitantes de San Telmo afrontan Incendio con víctimas,"Un grave incendio con víctimas se registró en San Telmo, CABA. El incidente dejando varios heridos y daños materiales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Incendio con víctimas,-34.636405,-58.380906,11/08/2014
Accidente de tránsito múltiple provoca emergencia en Cafayate,"Autoridades confirmaron un accidente de tránsito múltiple en Cafayate, Salta. El incidente con un saldo inicial de varias personas heridas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Accidente de tránsito múltiple,-26.121019,-65.997559,09/12/2006
Serio incidente: Fuego en centro comercial en San Nicolás,"Autoridades confirmaron un fuego en centro comercial en San Nicolás, Buenos Aires. El incidente bloqueando las principales vías de acceso. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuego en centro comercial,-33.311354,-60.241011,27/10/2016
"Alerta por Detonación en fábrica en San Ramón de la Nueva Orán, Salta","Un grave detonación en fábrica se registró en San Ramón de la Nueva Orán, Salta. El incidente resultando en el cierre temporal de escuelas y comercios. Se han habilitado refugios temporales para las familias afectadas.",Detonación en fábrica,-23.175298,-64.327551,16/04/2024
"Escape de gas domiciliario causa estragos en Alta Gracia, Córdoba","Autoridades confirmaron un escape de gas domiciliario en Alta Gracia, Córdoba. El incidente generando caos en el transporte público y privado. El municipio ha activado el protocolo de emergencias para esta situación.",Escape de gas domiciliario,-31.614999,-64.481239,10/09/2014
Serio incidente: Fallo en vuelo en Quilmes,"Autoridades confirmaron un fallo en vuelo en Quilmes, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fallo en vuelo,-34.74777,-58.297544,12/02/2012
"Confirman Apagón general de gran magnitud en Barranqueras, Chaco","Grave apagón general ocurrió en las inmediaciones de Barranqueras, Chaco. El incidente dejando a la población incomunicada por varias horas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Apagón general,-27.505111,-58.958658,10/10/2015
"Emergencia por Fallo en planta procesadora en Sarmiento, Chubut","Grave fallo en planta procesadora ocurrió en las inmediaciones de Sarmiento, Chubut. El incidente generando serios daños ambientales en la región. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Fallo en planta procesadora,-45.570628,-69.092201,10/10/2012
"Equipos de emergencia atienden Fuga en gasoducto en Concordia, Entre Ríos","Autoridades confirmaron un fuga en gasoducto en Concordia, Entre Ríos. El incidente causando pérdidas millonarias y afectando a cientos de personas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Fuga en gasoducto,-31.428761,-57.985512,19/10/2007
Siniestro vial fatal causa estragos en Victorica,"Un grave siniestro vial fatal se registró en Victorica, La Pampa. El incidente provocando la activación de protocolos de emergencia. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Siniestro vial fatal,-36.196251,-65.39232,20/09/2004
Autoridades responden a Accidente de tránsito múltiple en Bahía Blanca,"Autoridades confirmaron un accidente de tránsito múltiple en Bahía Blanca, Buenos Aires. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente de tránsito múltiple,-38.748405,-62.230074,23/03/2009
"Realicó sufre las consecuencias de Accidente en refinería, La Pampa","Grave accidente en refinería ocurrió en las inmediaciones de Realicó, La Pampa. El incidente causando pérdidas millonarias y afectando a cientos de personas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Accidente en refinería,-35.053085,-64.29471,26/08/2020
Equipos de emergencia atienden Escape de gas domiciliario en Yerba Buena,"Grave escape de gas domiciliario ocurrió en las inmediaciones de Yerba Buena, Tucumán. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Escape de gas domiciliario,-26.823004,-65.297515,29/07/2016
"Serio incidente: Fallo en planta procesadora en General Güemes, Salta","Grave fallo en planta procesadora ocurrió en las inmediaciones de General Güemes, Salta. El incidente provocando pánico entre los residentes locales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Fallo en planta procesadora,-24.626032,-65.043643,17/03/2013
Impacto de Descarrilamiento de vagones en comunidad de Belén,"Grave descarrilamiento de vagones ocurrió en las inmediaciones de Belén, Catamarca. El incidente generando preocupación entre autoridades provinciales. La población ha sido alertada para tomar precauciones adicionales.",Descarrilamiento de vagones,-27.624052,-66.987945,25/03/2021
"Equipos de emergencia atienden Incendio en edificio residencial en San Miguel de Tucumán, Tucumán","Grave incendio en edificio residencial ocurrió en las inmediaciones de San Miguel de Tucumán, Tucumán. El incidente causando daños en cultivos y producción agrícola. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Incendio en edificio residencial,-26.820266,-65.244436,24/03/2006
Emergencia en aeropuerto causa estragos en Toay,"Autoridades confirmaron un emergencia en aeropuerto en Toay, La Pampa. El incidente resultando en el cierre temporal de escuelas y comercios. Se han habilitado refugios temporales para las familias afectadas.",Emergencia en aeropuerto,-36.712883,-64.409741,17/09/2018
Colapso de estructura deja múltiples daños en Malargüe,"Un grave colapso de estructura se registró en Malargüe, Mendoza. El incidente dejando a la población incomunicada por varias horas. Equipos de rescate continúan buscando posibles víctimas.",Colapso de estructura,-35.488763,-69.615177,09/04/2019
Alerta por Descarrilamiento de vagones en Maipú,"Un grave descarrilamiento de vagones se registró en Maipú, Mendoza. El incidente provocando la activación de protocolos de emergencia. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Descarrilamiento de vagones,-32.922663,-68.80056,14/11/2011
Fallo en sistema de seguridad industrial sorprende a habitantes de Victorica,"Autoridades confirmaron un fallo en sistema de seguridad industrial en Victorica, La Pampa. El incidente resultando en el cierre temporal de escuelas y comercios. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fallo en sistema de seguridad industrial,-36.229355,-65.482374,02/09/2003
"Confirman Incendio en viviendas de gran magnitud en General Pico, La Pampa","Un grave incendio en viviendas se registró en General Pico, La Pampa. El incidente dejando un rastro de destrucción importante. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Incendio en viviendas,-35.608962,-63.78016,24/01/2015
"Choque en cadena afecta a Esperanza, Santa Fe","Grave choque en cadena ocurrió en las inmediaciones de Esperanza, Santa Fe. El incidente bloqueando las principales vías de acceso. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Choque en cadena,-31.455887,-60.893033,29/07/2004
Serio incidente: Incendio en edificio residencial en Pehuajó,"Un grave incendio en edificio residencial se registró en Pehuajó, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Incendio en edificio residencial,-35.806048,-61.896473,27/09/2008
